Grid search: 1 combinations x 10 sims each
  n_sigma:  [2.0]
  lambda2:  [1.5]
  Base:     output/experiment2
  Output:   output/grid6_*/
============================================================

============================================================
[1/1] n_sigma=2.0, lambda2=1.5
  Output: output/grid6_ns2.0_l21.5
============================================================
[INFO] Using device: mps
[INFO] Data shape: (2000, 95)
[INFO] RL train stocks: [60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]
[INFO] RL val stocks:   [80, 81, 82, 83, 84]
[INFO] Loaded transformer predictions from output/grid6_ns2.0_l21.5/checkpoints
[INFO] Normalization: mean=0.0000, std=0.0002
[INFO] Auto-loaded R²=0.5583 from transformer metrics
[INFO] Policy parameters: 4,677
[INFO] Env params: half_spread=0.0005, target_vol=0.02, R²=0.5583214163780212, n_sigma=2.0, tau=20, lambda2=1.5

 Iter    MeanRew    PolLoss      VLoss    Entropy         KL    EntCoef     LogStd     RewStd     Time
  159    -0.0000    -0.0003     0.0004     0.1542     0.0040     0.0001    -1.3388       0.21     2.6s
  160    -0.0000     0.0002     0.0003     0.1600     0.0025     0.0001    -1.3402       0.21     2.5s
  161    -0.0000     0.0003     0.0004     0.1693     0.0033     0.0001    -1.3322       0.21     2.5s
  162    -0.0000    -0.0010     0.0004     0.1716     0.0050     0.0001    -1.3315       0.21     2.6s
  163    -0.0000    -0.0001     0.0004     0.1702     0.0032     0.0001    -1.3322       0.21     2.5s
  164    -0.0000    -0.0010     0.0006     0.1887     0.0040     0.0001    -1.3179       0.21     2.5s
  165    -0.0000    -0.0003     0.0009     0.2125     0.0043     0.0001    -1.3082       0.21     2.5s
  166    -0.0000    -0.0010     0.0003     0.2159     0.0032     0.0001    -1.3141       0.21     2.5s
  167    -0.0000    -0.0001     0.0008     0.2181     0.0022     0.0001    -1.3078       0.21     2.6s
  168    -0.0000    -0.0012     0.0004     0.2251     0.0031     0.0001    -1.3044       0.21     2.5s
  169    -0.0000    -0.0004     0.0004     0.2161     0.0030     0.0001    -1.3146       0.20     2.6s
  170    -0.0000    -0.0011     0.0006     0.2182     0.0037     0.0001    -1.3072       0.20     2.4s
  171    -0.0000    -0.0000     0.0003     0.2185     0.0025     0.0001    -1.3093       0.20     2.3s
  172    -0.0000     0.0001     0.0003     0.2215     0.0022     0.0001    -1.3069       0.20     2.3s
  173    -0.0000    -0.0000     0.0003     0.2284     0.0024     0.0001    -1.3034       0.20     2.4s
  174    -0.0000    -0.0007     0.0003     0.2157     0.0014     0.0001    -1.3152       0.20     2.3s
  175    -0.0000    -0.0004     0.0004     0.1967     0.0030     0.0001    -1.3237       0.20     2.4s
  176    -0.0000    -0.0002     0.0003     0.1853     0.0028     0.0001    -1.3273       0.20     2.3s
  177    -0.0000    -0.0014     0.0003     0.1831     0.0040     0.0001    -1.3263       0.20     2.4s
  178    -0.0000    -0.0002     0.0003     0.1869     0.0029     0.0001    -1.3245       0.20     2.4s
  179    -0.0000    -0.0009     0.0004     0.1882     0.0033     0.0001    -1.3235       0.20     2.3s
  180    -0.0000    -0.0003     0.0003     0.1889     0.0025     0.0001    -1.3250       0.20     2.4s
  181    -0.0000    -0.0003     0.0003     0.1756     0.0030     0.0001    -1.3327       0.20     2.2s
  182    -0.0000    -0.0004     0.0005     0.1765     0.0039     0.0001    -1.3285       0.20     2.3s
  183    -0.0000    -0.0002     0.0004     0.1858     0.0028     0.0000    -1.3245       0.20     2.3s
  184    -0.0000    -0.0006     0.0004     0.1917     0.0034     0.0000    -1.3243       0.20     2.4s
  185    -0.0000    -0.0005     0.0003     0.1923     0.0029     0.0000    -1.3203       0.20     2.3s
  186    -0.0000    -0.0006     0.0006     0.2009     0.0025     0.0000    -1.3182       0.20     2.3s
  187    -0.0000     0.0002     0.0003     0.2033     0.0021     0.0000    -1.3180       0.19     2.4s
  188    -0.0000     0.0002     0.0003     0.2111     0.0024     0.0000    -1.3103       0.19     2.3s
  189    -0.0000    -0.0005     0.0004     0.2247     0.0034     0.0000    -1.3025       0.19     2.5s
  190     0.0000     0.0003     0.0004     0.2333     0.0026     0.0000    -1.3025       0.19     2.6s
  191    -0.0000     0.0002     0.0003     0.2306     0.0030     0.0000    -1.3056       0.19     2.4s
  192    -0.0000     0.0000     0.0004     0.2281     0.0029     0.0000    -1.3036       0.19     2.3s
  193    -0.0000    -0.0009     0.0005     0.2452     0.0037     0.0000    -1.2903       0.19     2.6s
  194    -0.0000    -0.0004     0.0003     0.2695     0.0028     0.0000    -1.2797       0.19     3.1s
  195    -0.0000    -0.0013     0.0004     0.2899     0.0040     0.0000    -1.2707       0.19     2.9s
  196    -0.0000    -0.0003     0.0003     0.3023     0.0027     0.0000    -1.2652       0.19     3.0s
  197    -0.0000    -0.0011     0.0003     0.3257     0.0036     0.0000    -1.2491       0.19     3.0s
